Country.Region,Cases,Deaths,medianHouseholdIncome,medianPerCapitaIncome,pop2020,Pop. Proportion Female,Per Capita Spending on Health,Total Tests,US$ GDP/Capita,% Urban Pop.,People 65 and Over (Millions),Median Age,International Inbound Tourists(thousands),Import/Export (% of GDP),R&D Expenditure (% of GDP),smoking prevalence (% of adults),pop2020(in million),deaths per mil,cases per million,tests per million,dpc
Luxembourg,3769,89,52493,18418,625.978,49.74325487,6236,42643,113196,91,8.57E-02,39.729,1046,415.4753,1.24366,23.5,0.625978,142.1775206,6020.978373,68122.20238,23613.691
Singapore,15641,14,32360,7345,5850.342,50.59025198,2280,143919,63987,100,0.660004,42.226,13903,326.1947,2.15996,16.5,5.850342,2.393022493,2673.518916,24600.1003,895.083
Malta,463,4,21141,6869,441.543,49.77705772,2304,32989,30650,94.6,8.94E-02,42.596,2274,267.7761,0.59697,25.5,0.441543,9.059140333,1048.595494,74712.99511,8639.309
Ireland,20253,1190,28234,8823,4937.786,50.40446047,4757,153954,77771,63.2,0.66815,38.246,10338,209.8109,1.17681,24.3,4.937786,240.9986986,4101.635834,31178.75096,58756.727
Slovakia,1391,22,17415,5455,5459.642,51.38577721,1108,85922,19547,53.7,0.852265,41.249,2162,192.3459,0.78965,30.1,5.459642,4.029568239,254.77861,15737.66192,15815.96
Belgium,47859,7501,26703,10189,11589.623,50.68928284,4228,237963,45175,98,2.157357,41.928,8385,175.6481,2.48835,28.2,11.589623,647.2169112,4129.469958,20532.41939,156731.231
Hungary,2727,300,12445,4493,9660.351,52.43024832,894,72951,17463,71.4,1.859736,43.336,5650,168.2775,1.20606,30.6,9.660351,31.05477223,282.2878796,7551.588964,110011.001
Lithuania,1375,45,12375,4719,2722.289,53.92806468,923,125555,19266,67.7,0.55199,45.051,2523,161.9537,0.84724,28.8,2.722289,16.53020675,505.0896507,46121.11352,32727.273
Slovenia,1418,89,25969,8656,2078.938,50.34442672,1772,52948,26170,54.5,0.407399,44.539,3586,160.9377,2.00202,22.5,2.078938,42.8103195,682.079023,25468.773,62764.457
Bahrain,2921,8,24693,4778,1701.575,37.27092502,1190,129694,25273,89.3,3.81E-02,32.456,11370,159.1855,0.10116,26.4,1.701575,4.701526527,1716.644873,76219.97267,2738.788
Netherlands,38998,4727,38584,14450,17134.872,50.24478244,4746,219744,52367,91.5,3.274786,43.314,17924,155.3479,2.03247,25.8,17.134872,275.870167,2275.943468,12824.37359,121211.344
Czechia,7579,227,22913,7821,10708.98,50,1322,242088,23078,73.8,2.071368,43.203,10160,151.4511,1.6783,21.6,10.70898,21.1971635,707.7237982,22606.07453,29951.181
